trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",20,0,-44.94795944598116,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,9,13.613136347889819,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",25,12,24.313280221361964,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",35,8,-40.42788385111297,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",25,0,10.022512567623261,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,14,-20.321492496315678,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,12,13.142589846698165,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,2,11.408172942038751,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,0,2.565560395924371,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",30,8,23.621619082980143,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,8,23.820943227920598,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,8,22.408955601046774,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",25,11,13.934330878418981,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,9,7.051569304367251,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,5,12.764234076482758,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",30,21,13.603584276439545,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,0,5.4504498969047255,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,13,6.9051039924762785,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",25,13,-0.9148102381458916,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,14,-0.2053169984543186,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",25,17,-8.941047889677419,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,15,8.50904492701998,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,12,14.845289464496801,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,19,11.758876944287394,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",30,18,21.574849604486985,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,3,22.128222823313365,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",25,14,-1.7197064180339001,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,0,9.927749633773775,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",30,17,16.099191496528388,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,3,2.761945088065265,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,20,10.168280297163125,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",30,5,37.95506802751319,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",25,1,25.651652585675194,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",30,3,43.05070209877309,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,6,13.815946660323275,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,15,10.498381005786827,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,14,10.706979404053945,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,16,7.166552769393791,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",35,25,18.2013146217628,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",20,0,-30.784341502304763,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",25,8,29.585820725557188,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
